ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
150,-85.6250,12.3750,5.2764,4.8966,3.9515,5.1565,5.1316,4.6785,5.0043,3.5162,4.5851,5.2448,4.6827,4.8813,5.0482,5.8343,5.6078
151,-85.3750,12.3750,6.2484,5.9333,5.0765,6.4731,5.9692,6.0790,6.2636,4.7142,5.6800,6.2884,5.8645,6.0134,6.4670,6.9372,6.7339
152,-85.1250,12.3750,7.7458,7.2137,6.9586,8.2347,8.0482,7.4019,7.3899,6.3192,7.3339,7.7015,7.6316,7.7830,8.2364,8.7551,8.0360
153,-84.8750,12.3750,9.9599,8.4097,8.8284,9.8684,9.6494,9.6998,8.9821,8.5665,9.4168,9.8821,9.1675,9.9468,9.8856,10.2250,9.6813
161,-87.1250,12.6250,3.7223,4.1994,2.6606,3.3598,3.7472,3.2801,3.9950,2.7936,3.6689,3.9118,3.7397,3.5357,1.8529,4.1186,3.9026
162,-86.8750,12.6250,3.4874,3.8811,2.7257,3.2219,3.5595,3.1946,3.8245,2.5941,3.5861,3.6191,3.4289,3.2783,1.8533,3.7469,3.4694
163,-86.6250,12.6250,3.2806,3.6729,2.6703,2.9786,3.3922,3.1081,3.6845,2.4018,3.4497,3.4153,3.2765,3.0947,2.1089,3.4634,3.2711
164,-86.3750,12.6250,3.1577,3.5374,2.6194,2.9247,3.2872,3.0565,3.5629,2.3693,3.3356,3.4036,3.1919,2.9502,2.4596,3.3164,3.1982
165,-86.1250,12.6250,3.4285,3.6044,2.7109,3.1814,3.6936,3.2093,3.7258,2.4656,3.3944,3.5785,3.4198,3.2363,3.0766,3.7180,3.6038
166,-85.8750,12.6250,3.7661,3.8992,3.0048,3.5040,4.0802,3.4367,4.1112,2.8313,3.6823,3.7846,3.7264,3.6208,3.5604,4.1996,4.1845
167,-85.6250,12.6250,4.7449,4.4107,3.5721,4.6054,4.6201,4.4230,4.6109,3.2173,4.4187,4.5950,4.2565,4.4612,4.3201,5.1051,5.1101
168,-85.3750,12.6250,5.6195,5.2844,4.7612,5.8475,5.3543,5.5268,5.4801,4.2620,5.0884,5.7358,5.2642,5.5944,5.6668,6.2552,6.0668
169,-85.1250,12.6250,7.1458,6.4567,6.2852,7.3108,6.8048,6.7797,6.7657,5.7130,6.4212,6.9895,6.7337,7.1532,7.2388,7.6864,7.2929
176,-87.6250,12.8750,4.0233,4.5997,2.6600,3.4341,3.9940,3.4680,4.0794,2.7885,4.0168,4.1093,3.9293,3.8727,2.0661,4.4806,4.2570
177,-87.3750,12.8750,3.8786,4.5288,2.5528,3.5324,4.0383,3.2392,4.1844,2.8661,3.7557,4.1782,3.9689,3.6765,2.1602,4.4409,4.0598
