ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
301,-91.6250,14.1250,-2.1800,0.3065,2.9200,0.0691,5.1000,0.0995,0.7350,0.2330,-1.0865,0.0231
302,-91.3750,14.1250,-2.0911,0.1914,2.6733,0.0995,4.7644,0.0783,0.8428,0.1728,-1.2203,0.0309
303,-91.1250,14.1250,-1.8533,0.2560,2.6933,0.0884,4.5467,0.0783,0.9920,0.1398,-1.3226,0.0309
304,-90.8750,14.1250,-0.9689,0.4955,4.1178,0.0268,5.0867,0.0783,0.8849,0.2805,-1.2487,0.0268
305,-90.6250,14.1250,-0.6733,0.5700,4.2378,0.0125,4.9111,0.0995,0.9488,0.1252,-1.2624,0.0199
306,-90.3750,14.1250,-1.4111,0.0995,4.6422,0.0146,6.0533,0.0125,0.9341,0.0356,-1.2494,0.0268
307,-90.1250,14.1250,-1.0822,0.4602,4.8533,0.0125,5.9356,0.0106,0.8432,0.0309,-1.1889,0.0171
308,-89.8750,14.1250,-2.5400,0.0783,4.7600,0.0090,7.3000,0.0045,0.9757,0.0090,-1.3881,0.0199
309,-89.6250,14.1250,-2.6667,0.2330,5.7622,0.0171,8.4289,0.0106,0.9945,0.0054,-1.4824,0.0125
310,-89.3750,14.1250,-4.5800,0.0106,5.0889,0.0268,9.6689,0.0038,1.1303,0.0054,-1.6951,0.0106
311,-89.1250,14.1250,-4.7133,0.0031,4.8733,0.0409,9.5867,0.0064,1.1134,0.0045,-1.7131,0.0076
312,-88.8750,14.1250,-5.0178,0.0019,4.0067,0.0356,9.0245,0.0146,0.8451,0.0054,-1.5109,0.0106
313,-88.6250,14.1250,-4.8644,0.0029,4.2378,0.0268,9.1022,0.0146,0.8586,0.0045,-1.5294,0.0106
314,-88.3750,14.1250,-4.9133,0.0026,4.1689,0.0268,9.0822,0.0106,0.7877,0.0054,-1.4839,0.0106
315,-88.1250,14.1250,-5.5333,0.0015,3.8556,0.0409,9.3889,0.0054,0.6993,0.0125,-1.3760,0.0125
316,-87.8750,14.1250,-3.9200,0.0219,4.3822,0.0409,8.3022,0.0125,0.7411,0.0125,-1.2337,0.0076
