ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
203,-86.3750,13.1250,7.0439,6.0750,8.7742,6.8196,6.2106,8.0952,6.0663,9.1638,6.7541,6.3333,6.7608,5.7173,5.4444,5.5059,6.4303
204,-86.1250,13.1250,6.5347,5.4303,7.9765,6.0505,5.8007,7.3692,5.5462,8.4606,5.8360,6.0219,6.0994,5.0234,4.8878,4.5536,5.7657
205,-85.8750,13.1250,6.0258,5.4226,8.0404,5.9256,5.5370,7.4201,5.5396,8.5311,5.8489,5.7439,5.9349,4.9932,4.9793,4.5539,5.9104
206,-85.6250,13.1250,5.5125,5.2336,6.9749,5.6238,5.1129,6.6773,5.3590,8.1474,5.6752,5.6409,5.8593,4.5973,4.8556,4.3870,5.8001
207,-85.3750,13.1250,5.4572,5.3242,6.5844,5.6065,4.9802,6.3473,5.4381,7.7614,5.6973,5.5708,5.7822,4.6138,4.8402,4.4285,5.8010
208,-85.1250,13.1250,5.0031,5.6325,6.7853,5.4611,5.2248,6.3633,5.5954,7.0033,5.9253,5.3778,5.7095,4.3911,4.8856,4.3970,5.8644
209,-84.8750,13.1250,4.9764,5.9681,6.1782,5.7300,5.1213,6.0029,5.4771,6.4101,5.9051,5.6938,5.4388,4.3088,4.8549,4.7156,6.0751
218,-88.8750,13.3750,9.4930,7.0144,13.1401,10.2163,7.6208,10.0376,8.1360,8.6358,9.6669,7.2184,7.5151,7.3930,6.8671,7.3359,8.6635
219,-88.6250,13.3750,9.3712,6.9132,13.2739,9.4299,7.7370,10.5099,7.8882,8.8334,9.5127,7.0902,7.4787,7.0781,6.7818,7.2032,8.5431
220,-88.3750,13.3750,8.8982,6.9726,13.7144,9.4952,7.5949,9.9692,7.9003,8.9505,9.1521,7.0139,7.6810,7.1097,7.0003,6.5764,8.0837
221,-88.1250,13.3750,8.6878,7.1289,13.1670,9.6374,7.7882,10.4695,7.8943,9.1173,9.1499,7.2150,7.8042,7.0210,7.1264,6.2983,7.9502
222,-87.8750,13.3750,8.9160,7.5691,12.2453,10.2961,8.3779,10.8557,8.2388,10.2507,9.3330,7.6760,8.5403,7.1938,7.5416,6.5937,8.4149
224,-87.3750,13.3750,9.2475,8.5770,12.5698,9.9441,8.7103,11.4997,8.8787,10.6040,9.9362,8.2553,9.0095,7.4527,7.5584,7.0569,8.7279
225,-87.1250,13.3750,8.7843,8.2570,11.8834,9.2661,8.2865,11.1518,8.4172,10.2951,9.1527,7.9186,8.7012,7.1175,7.0232,6.8115,8.3468
226,-86.8750,13.3750,7.7070,7.0944,10.3320,8.1080,7.3237,9.6753,7.1313,9.3384,7.9906,6.9907,7.6051,6.0846,6.1346,6.0168,7.0585
227,-86.6250,13.3750,7.1447,6.2893,8.8703,7.0103,6.5212,8.5920,6.2396,9.0637,7.0849,6.2956,6.8756,5.3475,5.5799,5.3689,6.4432
